Course Name,University,Aptitude Score,Family_Income,Parental_Education_Level,Previous Score,Extracurricular activity,Difficulty Level,Course rating
Investment Risk Management,Coursera Project Network,53,Medium,High School,62,Yes,Beginner,4.5
Quick resumeCreator with JavaScript,Coursera Project Network,73,Low,College,58,No,Advanced,3.6
"Reverse and complement nucleic acid sequences (DNA, RNA) using Python",Coursera Project Network,57,Medium,High School,64,No,Advanced,4.1
Support Vector Machine Classification in Python,Coursera Project Network,65,Medium,High School,65,No,Beginner,4.4
Advanced TestNG Framework and Integration with Selenium,Coursera Project Network,99,Low,College,72,No,Beginner,4.9
Applying Data Structures to Manipulate Cleansed UN Data,Coursera Project Network,96,High,High School,68,No,Beginner,4.3
Graphing with ggplot2,Coursera Project Network,63,Low,College,65,Yes,Beginner,3.7
Using Efficient Sorting Algorithms in Java to Arrange Tax Data,Coursera Project Network,87,Low,Postgraduate,71,No,Beginner,4.5
Implementing Hangman Game Using Basics of Python 3,Coursera Project Network,94,Medium,High School,63,No,Beginner,4.3
Introduction to JavaScript,Coursera Project Network,67,Low,High School,65,No,Beginner,4.4
Build a Data Science Web App with Streamlit and Python,Coursera Project Network,83,Low,High School,62,Yes,Beginner,4.6
Testing and Debugging Python,Coursera Project Network,93,Medium,College,66,Yes,Beginner,4.4
Build a Database from a Relational Model,Coursera Project Network,61,Low,High School,64,Yes,Beginner,4.8
Enhance Student Learning through Kahoot,Coursera Project Network,87,High,High School,68,No,Beginner,4.8
Building a Hiring Plan by Analyzing Past Data in Sheets,Coursera Project Network,90,Low,High School,71,Yes,Beginner,4.9
Perform Feature Analysis with Yellowbrick,Coursera Project Network,85,High,Postgraduate,66,No,Beginner,4.8
Network Data Science with NetworkX and Python,Coursera Project Network,74,High,Postgraduate,66,No,Beginner,4.5
Style Tables with CSS,Coursera Project Network,67,Low,High School,66,No,Beginner,4.8
Building Recommendation System Using MXNET on AWS Sagemaker,Coursera Project Network,71,Low,Postgraduate,64,Yes,Conversant,Not Calibrated
Create a Simple Project Timeline in Google Sheets,Coursera Project Network,57,High,High School,66,No,Beginner,4.6
Serving Tensorflow Models with a REST API,Coursera Project Network,99,Medium,High School,62,No,Beginner,4.3
Build an App in Android Studio using Activities,Coursera Project Network,97,Medium,High School,66,Yes,Beginner,4.4
TensorFlow Serving with Docker for Model Deployment,Coursera Project Network,50,Medium,High School,67,No,Advanced,4.9
Create Python Linux Script to Generate a Disk Usage Report,Coursera Project Network,95,Medium,College,73,Yes,Beginner,4.4
Create Training Videos with Powtoon,Coursera Project Network,86,Low,College,70,No,Beginner,4.5
Simple Nearest Neighbors Regression and Classification,Coursera Project Network,95,Low,High School,70,Yes,Beginner,5
Create Your First Web App with Python and Flask,Coursera Project Network,93,Low,High School,73,Yes,Beginner,4.5
Profit Analysis using Economic Value Added,Coursera Project Network,59,Low,College,60,No,Intermediate,4.7
Predict Future Product Prices Using Facebook Prophet,Coursera Project Network,55,Medium,Postgraduate,62,No,Beginner,4.4
Automate an e-commerce web application using Selenium & Java,Coursera Project Network,85,High,High School,74,Yes,Beginner,4.7
Build a film club web app on Google AppEngine,Coursera Project Network,81,Medium,High School,70,No,Beginner,4.6
Learn Java and JavaFX by creating a Graphical Calculator,Coursera Project Network,100,Low,Postgraduate,69,Yes,Beginner,4.8
Create a Project Charter with Google Docs,Coursera Project Network,58,Medium,College,72,No,Beginner,4.6
Python Dynamic HTML Web Server,Coursera Project Network,73,Low,Postgraduate,65,No,Beginner,4.6
How To Build a Network Topology Using GNS3,Coursera Project Network,99,High,High School,69,Yes,Beginner,4.5
Product Development: Customer Persona Development with Miro,Coursera Project Network,64,Low,High School,61,Yes,Beginner,4.9
Build a Budget and Analyze Variance using Google Sheets,Coursera Project Network,73,Medium,High School,65,No,Beginner,4.4
PyCaret: Anatomy of Classification,Coursera Project Network,74,Low,High School,71,No,Advanced,4
Introduction to Docker : The Basics,Coursera Project Network,52,Medium,High School,65,No,Beginner,4.7
Create Customer Support Data with Google Sheets,Coursera Project Network,91,Low,High School,68,Yes,Beginner,4.6
Starting GUI Programming with JavaFX,Coursera Project Network,96,High,College,73,Yes,Beginner,4.7
Introduction to Relational Database and SQL,Coursera Project Network,65,Low,College,64,No,Beginner,4.5
Create Online Employee Onboarding Course with Eduflow,Coursera Project Network,59,Low,College,62,No,Beginner,4.7
TensorFlow for CNNs: Learn and Practice CNNs,Coursera Project Network,84,High,College,72,Yes,Beginner,Not Calibrated
CRUD Operations using MongoDB NoSQL,Coursera Project Network,65,Low,High School,64,Yes,Beginner,4.5
Custom Reports in Google Analytics,Coursera Project Network,63,High,College,64,Yes,Beginner,4.7
Create Technical Stock Charts Using R and Quantmod,Coursera Project Network,61,Low,High School,70,No,Beginner,4.6
Use Mailchimp to Build an E-mail Marketing Campaign,Coursera Project Network,94,Medium,College,73,No,Beginner,4.5
Retrieve Data with Multiple-Table SQL Queries,Coursera Project Network,78,Medium,High School,69,No,Beginner,4.7
Beginning SQL Server,Coursera Project Network,59,Medium,College,66,Yes,Beginner,4.5
Create a Space Shooter Game with Scratch Studio,Coursera Project Network,98,Low,High School,71,No,Beginner,4.8
Build a Firebase Android Application (Part II),Coursera Project Network,75,Low,High School,65,No,Advanced,4.5
Create a Google Ads Display Campaign,Coursera Project Network,58,Low,College,65,No,Beginner,4.8
Agile Projects: Defining Epics and Mapping Value with Taiga,Coursera Project Network,97,Medium,High School,70,Yes,Beginner,5
AWS: Publish a NodeJS Website from Scratch,Coursera Project Network,56,Medium,College,66,Yes,Beginner,4.4
Create a Profile and Network on LinkedIn,Coursera Project Network,94,Medium,High School,68,No,Beginner,4.7
Creating an AWS EC2 Autoscaling Group using Load Balancer,Coursera Project Network,71,High,High School,67,No,Beginner,4.7
Image Compression with K-Means Clustering,Coursera Project Network,90,Low,College,71,No,Beginner,4.6
Neural Network from Scratch in TensorFlow,Coursera Project Network,85,High,College,70,Yes,Beginner,4.4
Image Data Augmentation with Keras,Coursera Project Network,87,Medium,College,67,No,Beginner,4.6
Blazor and JavaScript Interoperability,Coursera Project Network,54,Low,High School,60,No,Advanced,Not Calibrated
Database Design with SQL Server Management Studio (SSMS),Coursera Project Network,94,Low,High School,62,No,Beginner,4.5
Intermediate Object-Oriented Programming with Java,Coursera Project Network,54,Medium,College,66,Yes,Beginner,4.6
Big-O Time Complexity in Python Code,Coursera Project Network,91,High,High School,74,Yes,Beginner,4.5
Fake News Detection with Machine Learning,Coursera Project Network,52,Medium,High School,69,No,Beginner,4.5
Introduction to CRM with HubSpot,Coursera Project Network,88,Medium,College,68,Yes,Beginner,4.7
Analyzing Macro-Environmental Factors Using Creately,Coursera Project Network,81,Low,College,71,No,Advanced,4.8
JavaScript Arithmetic Operators,Coursera Project Network,92,Low,Postgraduate,71,No,Advanced,Not Calibrated
Getting Started in GIMP,Coursera Project Network,60,Low,Postgraduate,63,Yes,Beginner,4.7
HTML and CSS: Building a Single-Page Website,Coursera Project Network,52,Low,High School,58,Yes,Beginner,4.5
Style Images with CSS,Coursera Project Network,96,Low,College,70,Yes,Beginner,4.8
Build a Google Firebase Web Application,Coursera Project Network,70,Medium,College,63,Yes,Beginner,4.5
Analyze NPS Survey Data in Google Sheets,Coursera Project Network,66,Medium,College,74,Yes,Advanced,Not Calibrated
Evaluate Profit Margins with VLOOKUP in Google Sheets,Coursera Project Network,68,High,College,73,Yes,Beginner,4.5
Support Vector Machines with scikit-learn,Coursera Project Network,86,Medium,College,66,No,Beginner,4.3
Visualizing Citibike Trips with Tableau,Coursera Project Network,75,High,High School,62,Yes,Beginner,4.6
Cluster Analysis using RCmdr,Coursera Project Network,76,Medium,High School,60,Yes,Beginner,5
Understanding Deepfakes with Keras,Coursera Project Network,91,High,High School,75,Yes,Beginner,4.4
Google Ads for Beginners,Coursera Project Network,96,Medium,College,65,Yes,Beginner,4.5
Mining Data to Extract and Visualize Insights in Python,Coursera Project Network,66,Medium,High School,73,Yes,Beginner,4.2
Exploring Beethovenï¿½s Piano Sonatas,Curtis Institute of Music,97,Medium,High School,78,Yes,Not Calibrated,4.8
Exploring Beethoven's Piano Sonatas Part 4,Curtis Institute of Music,93,Medium,College,63,No,Beginner,4.9
Exploring Beethovenï¿½s Piano Sonatas Part 2,Curtis Institute of Music,76,Low,High School,64,No,Beginner,5
Exploring Beethoven's Piano Sonatas Part 6,Curtis Institute of Music,69,Low,High School,71,Yes,Intermediate,5
The World of the String Quartet,Curtis Institute of Music,87,Medium,College,73,No,Not Calibrated,4.7
Exploring Beethoven's Piano Sonatas Part 5,Curtis Institute of Music,58,Low,College,68,Yes,Advanced,4.9
Device-based Models with TensorFlow Lite,DeepLearning.AI,52,Low,High School,68,No,Beginner,4.6
Natural Language Processing with Probabilistic Models,DeepLearning.AI,55,High,Postgraduate,68,Yes,Beginner,4.7
"Sequences, Time Series and Prediction",DeepLearning.AI,88,Low,High School,65,No,Beginner,4.4
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,97,Low,High School,68,No,Beginner,4.6
Structuring Machine Learning Projects,DeepLearning.AI,52,High,High School,62,Yes,Beginner,4.8
Sequence Models,DeepLearning.AI,67,Medium,College,66,No,Conversant,4.8
Neural Networks and Deep Learning,DeepLearning.AI,72,High,High School,62,Yes,Beginner,4.9
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,66,Medium,High School,65,Yes,Beginner,4.9
Build Better Generative Adversarial Networks (GANs),DeepLearning.AI,51,Medium,College,64,No,Conversant,4.4
Natural Language Processing with Attention Models,DeepLearning.AI,66,Low,Postgraduate,67,Yes,Beginner,3.4
AI for Medical Prognosis,DeepLearning.AI,50,Low,High School,63,Yes,Beginner,4.7
Natural Language Processing with Sequence Models,DeepLearning.AI,98,Low,Postgraduate,69,No,Beginner,4.1
Apply Generative Adversarial Networks (GANs),DeepLearning.AI,52,Low,High School,66,No,Intermediate,4
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,66,Low,High School,68,No,Beginner,4.6
AI for Medical Diagnosis,DeepLearning.AI,54,High,Postgraduate,65,Yes,Beginner,4.5
Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,80,Medium,Postgraduate,68,Yes,Beginner,4.6
AI For Medical Treatment,DeepLearning.AI,84,High,High School,71,Yes,Beginner,4.6
Natural Language Processing in TensorFlow,DeepLearning.AI,67,Low,College,64,Yes,Beginner,4.5
AI For Everyone,DeepLearning.AI,84,Low,High School,70,No,Conversant,4.8
Convolutional Neural Networks,DeepLearning.AI,87,Medium,High School,67,No,Beginner,4.8
Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,91,High,High School,71,Yes,Beginner,4.4
Browser-based Models with TensorFlow.js,DeepLearning.AI,83,Medium,College,72,Yes,Intermediate,4.7
Advanced Deployment Scenarios with TensorFlow,DeepLearning.AI,94,Medium,High School,73,Yes,Beginner,4.6
ART of the MOOC: Public Art and Pedagogy,Duke University,90,Medium,Postgraduate,68,Yes,Not Calibrated,4.6
Managing Big Data with MySQL,Duke University,94,Low,College,70,Yes,Beginner,4.6
Renewable Energy and Green Building Entrepreneurship,Duke University,81,Low,Postgraduate,67,Yes,Intermediate,4.7
Data Science Math Skills,Duke University,86,Low,High School,63,No,Conversant,4.4
Startup Valuation Methods,Duke University,63,High,Postgraduate,72,Yes,Intermediate,4.3
Introduction to Probability and Data with R,Duke University,77,Low,High School,70,No,Advanced,4.6
Introduction to Machine Learning,Duke University,71,Medium,High School,68,Yes,Beginner,4.6
Data Visualization and Communication with Tableau,Duke University,72,Medium,High School,67,No,Beginner,4.6
Blockchain Business Models,Duke University,81,Medium,High School,69,No,Beginner,4.7
Copyright for Educators & Librarians,Duke University,67,Low,High School,62,No,Beginner,4.8
Civic Engagement in American Democracy,Duke University,76,Low,Postgraduate,65,Yes,Intermediate,4.8
Dog Emotion and Cognition,Duke University,85,Medium,High School,70,Yes,Beginner,4.5
"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",Duke University,92,Medium,College,64,Yes,Intermediate,4.6
Electric Industry Operations and Markets,Duke University,71,Medium,High School,67,No,Beginner,4.7
Introduction to Programming and Animation with Alice,Duke University,87,Medium,Postgraduate,64,Yes,Advanced,4.4
Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Duke University,87,Medium,High School,65,No,Intermediate,4.6
Behavioral Finance,Duke University,51,Low,Postgraduate,69,No,Intermediate,4.2
Nanotechnology: A Makerï¿½s Course,Duke University,98,Medium,High School,61,Yes,Beginner,4.8
Java Programming: Build a Recommendation System,Duke University,79,High,Postgraduate,68,Yes,Beginner,4.7
Business Metrics for Data-Driven Companies,Duke University,52,Medium,High School,63,No,Beginner,4.5
Financial Risk Management with R,Duke University,50,High,High School,66,Yes,Beginner,4.2
Bayesian Statistics,Duke University,100,Medium,High School,67,Yes,Intermediate,3.2
Interacting with the System and Managing Memory,Duke University,71,Low,College,72,No,Advanced,4
Sports and Society,Duke University,88,Medium,High School,67,Yes,Beginner,4.8
Medical Neuroscience,Duke University,97,Medium,High School,66,Yes,Intermediate,4.9
Introduction to Genetics and Evolution,Duke University,58,Medium,High School,63,No,Intermediate,4.8
Think Again I: How to Understand Arguments,Duke University,89,Medium,Postgraduate,73,Yes,Intermediate,4.6
The Brain and Space,Duke University,62,Low,High School,70,No,Intermediate,4.8
Think Again II: How to Reason Deductively,Duke University,65,Medium,High School,62,Yes,Intermediate,4.3
English Composition I,Duke University,74,Medium,College,69,Yes,Advanced,4.2
Chimpanzee Behavior and Conservation,Duke University,86,Medium,Postgraduate,67,Yes,Intermediate,4.9
Introduction to Chemistry: Structures and Solutions,Duke University,94,Medium,Postgraduate,68,Yes,Beginner,4.7
Copyright for Multimedia,Duke University,98,Medium,High School,65,No,Beginner,4.7
Mastering Data Analysis in Excel,Duke University,52,Low,College,65,Yes,Beginner,4.1
Java Programming: Principles of Software Design,Duke University,78,Medium,High School,63,Yes,Conversant,4.6
Java Programming: Solving Problems with Software,Duke University,51,Low,High School,68,Yes,Conversant,4.4
Financing for Startup Businesses,Duke University,86,Medium,High School,70,Yes,Intermediate,4.5
"Java Programming: Arrays, Lists, and Structured Data",Duke University,83,High,High School,64,Yes,Beginner,4.7
"Java Programming: Arrays, Lists, and Structured Data",Duke University,65,High,High School,65,Yes,Beginner,4.7
Think Again IV: How to Avoid Fallacies,Duke University,54,Low,High School,62,Yes,Intermediate,4.6
ART of the MOOC: Activism and Social Movements,Duke University,57,Medium,College,73,Yes,Beginner,4.5
"Programming Foundations with JavaScript, HTML and CSS",Duke University,65,Low,Postgraduate,71,No,Beginner,4.5
Statistics with R Capstone,Duke University,53,Low,High School,60,Yes,Advanced,4.6
Introductory Human Physiology,Duke University,50,Low,College,63,Yes,Intermediate,4.7
Introduction to Chemistry: Reactions and Ratios,Duke University,76,Low,High School,67,Yes,Beginner,4.7
Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,Duke University,86,Medium,College,74,No,Beginner,4.7
Visual Perception and the Brain,Duke University,98,Low,High School,64,Yes,Intermediate,4.7
Advertising and Society,Duke University,74,Medium,High School,67,No,Advanced,4.7
Java Programming: Solving Problems with Software,Duke University,58,Low,Postgraduate,67,Yes,Conversant,4.4
Think Again III: How to Reason Inductively,Duke University,78,Low,High School,69,Yes,Intermediate,4.8
Increasing Real Estate Management Profits: Harnessing Data Analytics,Duke University,93,Low,College,68,Yes,Advanced,4.7
The Challenges of Global Health,Duke University,87,Medium,High School,71,Yes,Beginner,4.8
Music as Biology: What We Like to Hear and Why,Duke University,72,High,College,66,No,Beginner,4.3
Oil & Gas Industry Operations and Markets,Duke University,95,High,High School,66,Yes,Beginner,4.8
Inferential Statistics,Duke University,60,High,College,65,Yes,Advanced,4.7
Mastering Web3 with Waves,E-Learning Development Fund,55,Low,College,65,No,Advanced,Not Calibrated
Advanced Portfolio Construction and Analysis with Python,EDHEC Business School,69,Medium,High School,73,Yes,Advanced,4.7
Python and Machine-Learning for Asset Management with Alternative Data Sets,EDHEC Business School,50,Low,Postgraduate,63,No,Advanced,4.4
Python and Machine Learning for Asset Management,EDHEC Business School,64,Low,College,66,Yes,Advanced,2.6
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,85,Low,Postgraduate,71,Yes,Advanced,4.8
Global Financing Solutions (by EDHEC and Sociï¿½tï¿½ Gï¿½nï¿½rale),EDHEC Business School,80,Low,High School,65,Yes,Advanced,4.6
Improving Your Statistical Questions,Eindhoven University of Technology,91,Low,Postgraduate,69,Yes,Beginner,4.9
Sports and Building Aerodynamics,Eindhoven University of Technology,83,High,High School,70,Yes,Intermediate,4.8
"Ethics, Technology and Engineering",Eindhoven University of Technology,75,Medium,Postgraduate,69,Yes,Advanced,4.5
Process Mining: Data science in Action,Eindhoven University of Technology,94,Low,College,70,No,Beginner,4.8
Improving your statistical inferences,Eindhoven University of Technology,60,Low,High School,64,No,Beginner,4.8
Privacy in the USA,EIT Digital,96,Low,College,67,Yes,Advanced,4.6
Security and Privacy for Big Data - Part 1,EIT Digital,65,Medium,High School,68,Yes,Beginner,4.7
Marketing Strategy for Entrepreneurs,EIT Digital,86,High,Postgraduate,66,Yes,Advanced,4.2
Standardisation & Technology,EIT Digital,76,Medium,High School,63,Yes,Advanced,4.4
Business Implications of AI: A Nano-course,EIT Digital,90,Medium,Postgraduate,67,Yes,Conversant,4.6
Innovation & Entrepreneurship - From Design Thinking to Funding,EIT Digital,93,Low,High School,68,Yes,Advanced,4.5
Security and Privacy for Big Data - Part 2,EIT Digital,59,Low,High School,70,No,Intermediate,4.6
I/O-efficient algorithms,EIT Digital,54,Low,College,65,Yes,Intermediate,4.5
Impact from digital transformation: A Nano course,EIT Digital,97,High,High School,72,Yes,Conversant,4.5
Privacy in the Western World,EIT Digital,92,High,High School,67,Yes,Beginner,4.5
Cybersecurity Awareness and Innovation,EIT Digital,85,Medium,Postgraduate,62,No,Beginner,4.6
Geometric Algorithms,EIT Digital,69,Low,Postgraduate,67,No,Advanced,4.3
Development of Real-Time Systems,EIT Digital,66,Medium,College,70,Yes,Advanced,4.5
"System Validation (4): Modelling Software, Protocols, and other behaviour",EIT Digital,79,Medium,College,66,No,Advanced,4.8
Introduction to Architecting Smart IoT Devices,EIT Digital,84,Medium,High School,67,Yes,Advanced,3.8
Privacy in Europe,EIT Digital,65,Low,College,66,No,Intermediate,4.7
Quantitative Model Checking,EIT Digital,89,Medium,High School,76,Yes,Advanced,4.1
Automated Reasoning: satisfiability,EIT Digital,92,Low,High School,65,Yes,Advanced,4.8
Privacy & Standardisation Capstone,EIT Digital,60,Low,High School,68,Yes,Advanced,3
Software Architecture for the Internet of Things,EIT Digital,70,Low,High School,71,No,Advanced,4
Architecting Smart IoT Devices,EIT Digital,63,Medium,High School,73,No,Advanced,4.1
Mastering Digital Twins,EIT Digital,71,Low,College,70,Yes,Beginner,3.7
Web of Data,EIT Digital,74,Low,High School,65,Yes,Advanced,4
System Validation (2): Model process behaviour,EIT Digital,79,High,College,67,Yes,Advanced,4.4
Foundations of mining non-structured medical data,EIT Digital,97,Medium,College,62,Yes,Advanced,4.2
Impact from Digital Transformation: Full course,EIT Digital,51,Low,Postgraduate,67,No,Beginner,4.5
Basic Recommender Systems,EIT Digital,81,Medium,High School,61,Yes,Beginner,Not Calibrated
Data Science for Business Innovation,EIT Digital,70,High,Postgraduate,67,Yes,Advanced,4.2
Automated Reasoning: Symbolic Model Checking,EIT Digital,87,Medium,High School,63,No,Advanced,4.3
System Validation (3): Requirements by modal formulas,EIT Digital,69,High,High School,68,No,Advanced,4.3
Business Implications of AI: Full course,EIT Digital,95,Medium,High School,67,Yes,Advanced,4.1
Approximation Algorithms,EIT Digital,51,Low,College,65,Yes,Intermediate,4.5
Web Connectivity and Security in Embedded Systems,EIT Digital,64,Medium,High School,66,No,Advanced,4.5
The Impact of Technology,EIT Digital,85,Low,High School,72,No,Advanced,4.6
Quantitative Formal Modeling and Worst-Case Performance Analysis,EIT Digital,68,High,College,63,No,Advanced,4.3
Capstone Value Creation through Innovation,EIT Digital,58,Medium,College,64,No,Advanced,1.9
Blockchain for the decision maker,EIT Digital,57,Low,Postgraduate,65,Yes,Advanced,4
System Validation: Automata and behavioural equivalences,EIT Digital,53,Medium,High School,67,Yes,Advanced,4.1
Embedded Hardware and Operating Systems,EIT Digital,64,High,High School,69,Yes,Advanced,3.9
Innovation & Entrepreneurship - From Basics to Open Innovation,EIT Digital,62,Low,College,73,Yes,Advanced,4.5
Capstone: Autonomous Runway Detection for IoT,EIT Digital,53,Low,High School,65,No,Advanced,4.5
Blockchain 360: A State of the Art for Professionals,EIT Digital,95,Low,Postgraduate,69,Yes,Intermediate,4.4
Marketing Analytics Capstone Project,Emory University,85,Low,High School,68,Yes,Advanced,3.7
Journeys to Education Teach-Out,Emory University,56,Medium,Postgraduate,71,No,Beginner,4.5
Finance for Non-Financial Managers,Emory University,74,Medium,College,62,No,Beginner,4.2
Biohacking Your Brain's Health,Emory University,92,Medium,Postgraduate,70,Yes,Beginner,4.7
Weight Management: Beyond Balancing Calories,Emory University,65,High,High School,68,Yes,Beginner,4.7
"The Bible's Prehistory, Purpose, and Political Future",Emory University,81,Medium,College,67,No,Beginner,4.7
Qualitative Data Collection Methods,Emory University,78,Low,High School,67,No,Beginner,4.8
Qualitative Research Design,Emory University,66,Medium,High School,66,No,Beginner,5
Conflict Transformation,Emory University,96,Medium,High School,72,Yes,Intermediate,4.8
"""Making"" Progress Teach-Out",Emory University,68,Medium,College,68,Yes,Beginner,4.2
The Psychology of Thrill Seekers,Emory University,67,Medium,College,66,No,Intermediate,4.5
Childbirth: A Global Perspective,Emory University,71,High,College,71,No,Intermediate,4.8
Ebola Virus Disease: An Evolving Epidemic,Emory University,79,Low,High School,71,No,Intermediate,4.7
Forecasting Models for Marketing Decisions,Emory University,99,High,College,71,No,Intermediate,4.2
Managing Uncertainty in Marketing Analytics,Emory University,97,High,High School,70,Yes,Advanced,4.3
Introduction to Social Media Analytics,Emory University,89,Medium,College,66,Yes,Advanced,4.4
Survey analysis to Gain Marketing Insights,Emory University,75,Low,College,69,No,Intermediate,4.5
Communicating During Global Emergencies,Emory University,73,Low,High School,63,No,Beginner,4.6
Reproducible Templates for Analysis and Dissemination,Emory University,94,Medium,Postgraduate,64,No,Advanced,4.7
"Extinctions: Past, Present, & Future",Emory University,91,Low,High School,67,Yes,Beginner,4.8
Understanding Violence,Emory University,59,Low,College,66,Yes,Beginner,4.6
Meaningful Marketing Insights,Emory University,86,High,High School,67,No,Beginner,4.1
Qualitative Data Analysis with MAXQDA Software,Emory University,53,Low,College,68,Yes,Intermediate,5
Health in Complex Humanitarian Emergencies,Emory University,84,Low,High School,64,No,Intermediate,4.7
So You Think You Know Tango?,Emory University,83,Low,High School,64,Yes,Intermediate,4.5
From Freedom Rides to Ferguson: Narratives of Nonviolence in the American Civil Rights Movement,Emory University,54,High,College,70,Yes,Beginner,4.8
When Disaster Meets Conflict,Erasmus University Rotterdam,94,Medium,High School,68,No,Beginner,4.8
Financing Infrastructure in African Cities,Erasmus University Rotterdam,62,Medium,High School,64,Yes,Beginner,4.7
Econometrics: Methods and Applications,Erasmus University Rotterdam,94,Medium,Postgraduate,66,Yes,Conversant,4.5
Local Economic Development,Erasmus University Rotterdam,79,Low,College,63,No,Intermediate,4.8
Regulated Competition in Healthcare Systems: Theory & Practice,Erasmus University Rotterdam,83,Medium,College,69,Yes,Beginner,4.7
Enjoyable Econometrics,Erasmus University Rotterdam,60,Medium,Postgraduate,69,Yes,Beginner,4.2
Assessment in Higher Education: Professional Development for Teachers,Erasmus University Rotterdam,58,Medium,Postgraduate,65,Yes,Advanced,4.8
Cybersecurity in Healthcare (Hospitals & Care Centres),Erasmus University Rotterdam,54,High,College,66,Yes,Intermediate,4.8
Serious Gaming,Erasmus University Rotterdam,53,Low,College,70,Yes,Advanced,4.4
International Security Management,Erasmus University Rotterdam,71,High,College,71,Yes,Beginner,4.7
Qualitative Comparative Analysis (QCA),Erasmus University Rotterdam,93,Low,High School,70,Yes,Beginner,4.8
Principles of Sustainable Finance,Erasmus University Rotterdam,74,Medium,Postgraduate,65,Yes,Beginner,4.7
A Business Approach to Sustainable Landscape Restoration,Erasmus University Rotterdam,63,Low,Postgraduate,70,No,Beginner,4.7
Earth Economics,Erasmus University Rotterdam,86,Medium,Postgraduate,68,Yes,Beginner,4.4
Mind of the Universe: Science in Progress,Erasmus University Rotterdam,74,High,High School,62,No,Advanced,4.8
The Politics of Skepticism,Erasmus University Rotterdam,98,Low,High School,68,No,Intermediate,4.6
Studying Cities: Social Science Methods for Urban Research,Erasmus University Rotterdam,77,Medium,College,69,Yes,Beginner,4.7
Cross-border road transport in EU law context,Erasmus University Rotterdam,65,Medium,High School,68,Yes,Advanced,4.7
Business Model Innovation for Sustainable Landscape Restoration,Erasmus University Rotterdam,94,Medium,High School,67,No,Advanced,4.4
Introduction to Economic Theories,Erasmus University Rotterdam,82,Medium,College,69,No,Intermediate,4.4
Innovation Management,Erasmus University Rotterdam,70,Medium,Postgraduate,68,Yes,Beginner,4.7
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,56,Low,High School,64,No,Intermediate,4.8
Planning for Climate Change in African Cities,Erasmus University Rotterdam,56,Medium,College,68,Yes,Advanced,4.7
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,53,Medium,High School,68,Yes,Advanced,4.6
Doing Business in Europe,ESCP Business School,95,Medium,High School,68,Yes,Beginner,4.3
Intercultural Management,ESCP Business School,97,Medium,High School,69,Yes,Beginner,4.5
The fundamentals of hotel distribution,ESSEC Business School,53,Low,Postgraduate,66,No,Intermediate,4.7
Hï¿½tel ï¿½De l'ï¿½toileï¿½ - a hotel in crisis?,ESSEC Business School,69,Medium,College,70,No,Advanced,4.1
Foundations of marketing analytics,ESSEC Business School,59,Medium,College,65,Yes,Intermediate,4.5
The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,ESSEC Business School,83,Low,College,69,No,Beginner,4.5
International and Cross-Cultural Negotiation,ESSEC Business School,94,High,College,66,No,Advanced,4.6
Negotiation Fundamentals,ESSEC Business School,63,Low,College,62,Yes,Intermediate,4.6
Mediation and Conflict Resolution,ESSEC Business School,76,Low,College,74,No,Advanced,4.7
Capstone: Create Value from Open Data,ESSEC Business School,74,Low,High School,66,No,Advanced,3.6
Demand management: Breaking down todayï¿½s commercial silos,ESSEC Business School,86,High,High School,66,No,Conversant,4.7
Foundations of strategic business analytics,ESSEC Business School,75,High,Postgraduate,63,No,Advanced,4.4
Case studies in business analytics with ACCENTURE,ESSEC Business School,55,Medium,Postgraduate,67,No,Advanced,3.2
"Negotiation, Mediation, and Conflict Resolution - Capstone Project",ESSEC Business School,79,High,College,65,Yes,Advanced,4.9
Diversity and inclusion in the workplace,ESSEC Business School,56,Low,High School,67,No,Beginner,4.6
Tinkering Fundamentals: Circuits,Exploratorium,74,Low,High School,65,No,Beginner,4.7
Exploring Light: Hands-on Activities and Strategies for Teachers,Exploratorium,80,High,High School,69,Yes,Beginner,4.8
Tinkering Fundamentals: Motion and Mechanisms,Exploratorium,99,Low,High School,71,Yes,Intermediate,5
Social Media Management,Facebook,66,Low,Postgraduate,65,No,Intermediate,4.8
Introduction to Social Media Marketing,Facebook,87,Low,College,67,Yes,Beginner,4.9
Fundamentals of Social Media Advertising,Facebook,96,Low,High School,65,No,Advanced,5
Measure and Optimize Social Media Marketing Campaigns,Facebook,76,Medium,Postgraduate,66,Yes,Beginner,Not Calibrated
Lesson | Telephone Language,Georgia Institute of Technology,66,Low,High School,62,Yes,Not Calibrated,4.5
Materials Data Sciences and Informatics,Georgia Institute of Technology,94,Medium,High School,66,Yes,Beginner,4.3
